timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1144000,488.093,0.0,95598.1,1.13586
1148000,488.065,0.0,95598.4,1.13587
1152000,488.248,0.0,95596.3,1.13584
1156000,487.957,0.0,95599.7,1.13588
1164000,488.197,0.0,95596.9,1.13585
1168000,488.098,0.0,95598.1,1.13586
1172000,488.244,0.0,95596.4,1.13584
1176000,488.22,0.0,95596.7,1.13585
1180000,488.112,0.0,95597.9,1.13586
1184000,487.845,0.0,95601.0,1.1359
1192000,487.887,0.0,95600.5,1.13589
1196000,488.014,0.0,95599.0,1.13587
1200000,488.159,0.0,95597.4,1.13586
1208000,488.075,0.0,95598.3,1.13587
1212000,487.948,0.0,95599.8,1.13588
1216000,487.868,0.0,95600.7,1.13589
1224000,488.112,0.0,95597.9,1.13586
1228000,487.91,0.0,95600.2,1.13589
1232000,487.915,0.0,95600.2,1.13589
1236000,488.136,0.0,95597.7,1.13586
1240000,488.126,0.0,95597.7,1.13586
1244000,488.164,0.0,95597.3,1.13585
1248000,488.075,0.0,95598.4,1.13587
1252000,488.009,0.0,95599.1,1.13588
1256000,488.07,0.0,95598.4,1.13587
1260000,488.004,0.0,95599.2,1.13588
1264000,488.112,0.0,95597.9,1.13586
1272000,487.953,0.0,95599.7,1.13588
1276000,488.089,0.0,95598.2,1.13586
1284000,488.159,0.0,95597.4,1.13585
1288000,488.028,0.0,95598.9,1.13587
1292000,487.967,0.0,95599.6,1.13588
1296000,488.042,0.0,95598.7,1.13587
1304000,488.028,0.0,95598.9,1.13587
1308000,488.07,0.0,95598.4,1.13587
1312000,488.136,0.0,95597.7,1.13586
1316000,488.14,0.0,95597.6,1.13586
1320000,488.079,0.0,95598.3,1.13587
1328000,488.028,0.0,95598.9,1.13587
1332000,488.018,0.0,95599.0,1.13587
1340000,488.201,0.0,95596.9,1.13585
1344000,488.215,0.0,95596.8,1.13585
1352000,488.061,0.0,95598.5,1.13587
1360000,488.178,0.0,95597.2,1.13585
1364000,488.098,0.0,95598.1,1.13586
1368000,488.065,0.0,95598.4,1.13587
1372000,488.075,0.0,95598.3,1.13587
1380000,488.018,0.0,95599.0,1.13587
1384000,488.084,0.0,95598.2,1.13587
1388000,488.07,0.0,95598.4,1.13587
1396000,488.159,0.0,95597.4,1.13585
1400000,488.178,0.0,95597.1,1.13585
1404000,487.953,0.0,95599.7,1.13588
1412000,488.122,0.0,95597.8,1.13586
1416000,488.009,0.0,95599.1,1.13588
1420000,488.112,0.0,95597.9,1.13586
1428000,488.131,0.0,95597.7,1.13586
1432000,488.145,0.0,95597.5,1.13586
1436000,488.112,0.0,95597.9,1.13586
1444000,488.075,0.0,95598.3,1.13587
1448000,488.173,0.0,95597.2,1.13585
1452000,488.164,0.0,95597.3,1.13585
1456000,488.15,0.0,95597.5,1.13586
1460000,488.108,0.0,95598.0,1.13586
1464000,488.089,0.0,95598.2,1.13586
1468000,488.056,0.0,95598.5,1.13587
1472000,488.159,0.0,95597.4,1.13586
1480000,488.173,0.0,95597.2,1.13585
1484000,488.14,0.0,95597.6,1.13586
1488000,488.164,0.0,95597.3,1.13585
1492000,488.023,0.0,95598.9,1.13587
1496000,487.934,0.0,95599.9,1.13589
1500000,488.098,0.0,95598.1,1.13586
1504000,488.154,0.0,95597.4,1.13586
1512000,488.22,0.0,95596.7,1.13585
1516000,488.14,0.0,95597.6,1.13586
1524000,488.042,0.0,95598.7,1.13587
1528000,488.145,0.0,95597.5,1.13586
1532000,487.863,0.0,95600.7,1.1359
1536000,488.061,0.0,95598.5,1.13587
1544000,488.089,0.0,95598.2,1.13586
1548000,487.995,0.0,95599.2,1.13588
1556000,488.023,0.0,95598.9,1.13587
1560000,487.967,0.0,95599.6,1.13588
1564000,488.234,0.0,95596.5,1.13584
1568000,487.99,0.0,95599.3,1.13588
1572000,488.178,0.0,95597.2,1.13585
1576000,488.098,0.0,95598.0,1.13586
1584000,488.093,0.0,95598.1,1.13586
1588000,488.07,0.0,95598.4,1.13587
1592000,488.018,0.0,95599.0,1.13587
1596000,488.197,0.0,95597.0,1.13585
1600000,488.131,0.0,95597.7,1.13586
1604000,488.206,0.0,95596.8,1.13585
1608000,487.934,0.0,95599.9,1.13589
1612000,488.108,0.0,95597.9,1.13586
1616000,488.004,0.0,95599.1,1.13588
1624000,487.887,0.0,95600.5,1.13589
1628000,488.018,0.0,95599.0,1.13587
1632000,488.046,0.0,95598.6,1.13587
1636000,488.032,0.0,95598.8,1.13587
1640000,488.051,0.0,95598.6,1.13587
1644000,488.084,0.0,95598.2,1.13586
1652000,488.056,0.0,95598.5,1.13587
1656000,488.098,0.0,95598.0,1.13586
1660000,488.075,0.0,95598.3,1.13587
1664000,488.154,0.0,95597.4,1.13586
1672000,488.0,0.0,95599.2,1.13588
1676000,488.206,0.0,95596.8,1.13585
1680000,488.046,0.0,95598.7,1.13587
1688000,488.051,0.0,95598.6,1.13587
1692000,488.032,0.0,95598.8,1.13587
1696000,488.079,0.0,95598.3,1.13587
1704000,488.187,0.0,95597.1,1.13585
1708000,488.14,0.0,95597.6,1.13586
1712000,488.056,0.0,95598.6,1.13587
1716000,488.032,0.0,95598.8,1.13587
1720000,488.159,0.0,95597.3,1.13585
1724000,488.192,0.0,95597.0,1.13585
1728000,488.07,0.0,95598.4,1.13587
1732000,488.065,0.0,95598.5,1.13587
1740000,488.173,0.0,95597.2,1.13585
1744000,488.004,0.0,95599.1,1.13588
1748000,488.173,0.0,95597.2,1.13585
1752000,488.178,0.0,95597.1,1.13585
1756000,488.178,0.0,95597.2,1.13585
1764000,487.953,0.0,95599.7,1.13588
1768000,488.098,0.0,95598.0,1.13586
1772000,487.99,0.0,95599.3,1.13588
1780000,488.056,0.0,95598.5,1.13587
1788000,488.061,0.0,95598.5,1.13587
1792000,488.173,0.0,95597.2,1.13585
1796000,488.079,0.0,95598.3,1.13587
1800000,488.014,0.0,95599.0,1.13587
1808000,488.032,0.0,95598.8,1.13587
1812000,488.117,0.0,95597.9,1.13586
1816000,488.014,0.0,95599.1,1.13587
1820000,488.103,0.0,95598.0,1.13586
1828000,488.075,0.0,95598.3,1.13587
1832000,488.056,0.0,95598.6,1.13587
1836000,488.056,0.0,95598.6,1.13587
1840000,488.122,0.0,95597.8,1.13586
1844000,488.061,0.0,95598.5,1.13587
1852000,488.079,0.0,95598.3,1.13587
1856000,488.267,0.0,95596.1,1.13584
1860000,488.051,0.0,95598.6,1.13587
1864000,488.15,0.0,95597.5,1.13586
1872000,488.075,0.0,95598.4,1.13587
