timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
354308000,0,1,0,0,0,1,0,1,1
354312000,0,1,0,0,0,1,0,1,1
354312000,0,1,0,0,0,1,0,1,1
354316000,0,1,0,0,0,1,0,1,1
354320000,0,1,0,0,0,1,0,1,1
354324000,0,1,0,0,0,1,0,1,1
354328000,0,1,0,0,0,1,0,1,1
354332000,0,1,0,0,0,1,0,1,1
354336000,0,1,0,0,0,1,0,1,1
354340000,0,1,0,0,0,1,0,1,1
354340000,0,1,0,0,0,1,0,1,1
354344000,0,1,0,0,0,1,0,1,1
354348000,0,1,0,0,0,1,0,1,1
354352000,0,1,0,0,0,1,0,1,1
354356000,0,1,0,0,0,1,0,1,1
354360000,0,1,0,0,0,1,0,1,1
354364000,0,1,0,0,0,1,0,1,1
354368000,0,1,0,0,0,1,0,1,1
354368000,0,1,0,0,0,1,0,1,1
354372000,0,1,0,0,0,1,0,1,1
354376000,0,1,0,0,0,1,0,1,1
354380000,0,1,0,0,0,1,0,1,1
354384000,0,1,0,0,0,1,0,1,1
354388000,0,1,0,0,0,1,0,1,1
354392000,0,1,0,0,0,1,0,1,1
354396000,0,1,0,0,0,1,0,1,1
354396000,0,1,0,0,0,1,0,1,1
354400000,0,1,0,0,0,1,0,1,1
354404000,0,1,0,0,0,1,0,1,1
354408000,0,1,0,0,0,1,0,1,1
354412000,0,1,0,0,0,1,0,1,1
354416000,0,1,0,0,0,1,0,1,1
354420000,0,1,0,0,0,1,0,1,1
354424000,0,1,0,0,0,1,0,1,1
354424000,0,1,0,0,0,1,0,1,1
354428000,0,1,0,0,0,1,0,1,1
354432000,0,1,0,0,0,1,0,1,1
354436000,0,1,0,0,0,1,0,1,1
354440000,0,1,0,0,0,1,0,1,1
354444000,0,1,0,0,0,1,0,1,1
354448000,0,1,0,0,0,1,0,1,1
354452000,0,1,0,0,0,1,0,1,1
354452000,0,1,0,0,0,1,0,1,1
354456000,0,1,0,0,0,1,0,1,1
354460000,0,1,0,0,0,1,0,1,1
354464000,0,1,0,0,0,1,0,1,1
354468000,0,1,0,0,0,1,0,1,1
354472000,0,1,0,0,0,1,0,1,1
354476000,0,1,0,0,0,1,0,1,1
354480000,0,1,0,0,0,1,0,1,1
354480000,0,1,0,0,0,1,0,1,1
354484000,0,1,0,0,0,1,0,1,1
354488000,0,1,0,0,0,1,0,1,1
354492000,0,1,0,0,0,1,0,1,1
354496000,0,1,0,0,0,1,0,1,1
354500000,0,1,0,0,0,1,0,1,1
354504000,0,1,0,0,0,1,0,1,1
354508000,0,1,0,0,0,1,0,1,1
354508000,0,1,0,0,0,1,0,1,1
354512000,0,1,0,0,0,1,0,1,1
354516000,0,1,0,0,0,1,0,1,1
354520000,0,1,0,0,0,1,0,1,1
354524000,0,1,0,0,0,1,0,1,1
354528000,0,1,0,0,0,1,0,1,1
354532000,0,1,0,0,0,1,0,1,1
354536000,0,1,0,0,0,1,0,1,1
354536000,0,1,0,0,0,1,0,1,1
354540000,0,1,0,0,0,1,0,1,1
354544000,0,1,0,0,0,1,0,1,1
354548000,0,1,0,0,0,1,0,1,1
354552000,0,1,0,0,0,1,0,1,1
354556000,0,1,0,0,0,1,0,1,1
354560000,0,1,0,0,0,1,0,1,1
354564000,0,1,0,0,0,1,0,1,1
354564000,0,1,0,0,0,1,0,1,1
354568000,0,1,0,0,0,1,0,1,1
354572000,0,1,0,0,0,1,0,1,1
354576000,0,1,0,0,0,1,0,1,1
354580000,0,1,0,0,0,1,0,1,1
354584000,0,1,0,0,0,1,0,1,1
354588000,0,1,0,0,0,1,0,1,1
354592000,0,1,0,0,0,1,0,1,1
354592000,0,1,0,0,0,1,0,1,1
354596000,0,1,0,0,0,1,0,1,1
354600000,0,1,0,0,0,1,0,1,1
354604000,0,1,0,0,0,1,0,1,1
354608000,0,1,0,0,0,1,0,1,1
354612000,0,1,0,0,0,1,0,1,1
354616000,0,1,0,0,0,1,0,1,1
354620000,0,1,0,0,0,1,0,1,1
354624000,0,1,0,0,0,1,0,1,1
354628000,0,1,0,0,0,1,0,1,1
354632000,0,1,0,0,0,1,0,1,1
354636000,0,1,0,0,0,1,0,1,1
354640000,0,1,0,0,0,1,0,1,1
354644000,0,1,0,0,0,1,0,1,1
354648000,0,1,0,0,0,1,0,1,1
