timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
343900000,0.999924,-0.00606184,0.000656813,-0.0106941,-0.0158277,-0.773159,0.679513,0.127051,102.373,-64.9558,7.34467e-07,2.21506e-06,3.26726e-06,-0.000100718,-0.00118868,-3.34196e-06,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.91716e-09,4.44284e-05,0.000210448,4.67451e-09,5.21745e-06,5.33196e-06,3.35869e-05,0.00696102,0.0069596,0.00975365,0.0184671,0.0184658,0.0493674,1.00844e-11,1.01036e-11,1.78731e-11,5.7108e-08,5.42904e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.192179,0.222188,0.00261707,0.00214983,0.00628619,0.00373055,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
344092000,0.999923,-0.0060044,0.000469447,-0.0108359,-0.0182587,-0.76542,0.689641,0.123221,102.226,-64.8225,7.25932e-07,2.21584e-06,3.27392e-06,-0.000100742,-0.00118864,-4.14832e-06,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.80879e-09,4.4559e-05,0.000231725,4.73192e-09,5.20841e-06,5.32288e-06,3.36143e-05,0.00692158,0.00692022,0.00972342,0.0183332,0.0183319,0.049175,1.00784e-11,1.00972e-11,1.78643e-11,5.7105e-08,5.42888e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.191481,0.221754,0.00223232,0.00329501,0.00462057,0.000476172,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
344284000,0.999925,-0.00573926,0.000423759,-0.0107715,-0.0182033,-0.75681,0.700141,0.119102,102.081,-64.6857,7.19059e-07,2.21613e-06,3.28039e-06,-0.000100769,-0.00118861,-5.53693e-06,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.79007e-09,4.54002e-05,0.000225862,4.69523e-09,5.19947e-06,5.31356e-06,3.36409e-05,0.00688235,0.00688105,0.00975968,0.0182005,0.0181992,0.049592,1.00726e-11,1.00908e-11,1.78556e-11,5.71022e-08,5.42872e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.190787,0.222693,0.000569508,0.00325307,0.00289949,0.00523461,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
344476000,0.999929,-0.00549169,0.000261198,-0.0105811,-0.015768,-0.74661,0.708761,0.117752,101.938,-64.5481,7.13548e-07,2.23138e-06,3.29023e-06,-0.000100741,-0.00118858,-6.51781e-06,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.74213e-09,4.48925e-05,0.000221446,4.61144e-09,5.19057e-06,5.30434e-06,3.36665e-05,0.00684388,0.00684265,0.00972862,0.0180688,0.0180677,0.0493957,1.00667e-11,1.00846e-11,1.78468e-11,5.70995e-08,5.42856e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.190096,0.222252,0.0107432,0.00648536,0.0115333,0.00147696,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
344668000,0.999927,-0.00539175,0.000648693,-0.0107908,-0.0147351,-0.737949,0.717975,0.115917,101.795,-64.4058,7.14515e-07,2.23844e-06,3.29326e-06,-0.000100723,-0.00118859,-8.65392e-06,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.51163e-09,4.21848e-05,0.000219781,4.71012e-09,5.26298e-06,5.37634e-06,3.37412e-05,0.00730128,0.00729996,0.00986813,0.0196499,0.0196484,0.0496765,1.01132e-11,1.01307e-11,1.78499e-11,5.7098e-08,5.42853e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.198238,0.222882,0.00547266,0.00593078,0.00266622,0.0048342,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
344868000,0.999929,-0.00523863,0.000931791,-0.0107011,-0.0107387,-0.728324,0.726631,0.116258,101.649,-64.2604,7.17021e-07,2.25527e-06,3.30132e-06,-0.000100681,-0.0011886,-9.21845e-06,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.74293e-09,4.35492e-05,0.000219995,4.68606e-09,5.26044e-06,5.37358e-06,3.37846e-05,0.00730152,0.00730024,0.00987529,0.0196497,0.0196483,0.0497421,1.01115e-11,1.01286e-11,1.78452e-11,5.70955e-08,5.42839e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.198237,0.223029,0.000374917,0.00525731,0.00724482,0.00428538,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
345060000,0.999932,-0.00465536,0.00116389,-0.0106345,-0.0116886,-0.717813,0.734633,0.115996,101.51,-64.1179,7.15295e-07,2.26656e-06,3.30182e-06,-0.000100636,-0.0011886,-1.02634e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.73575e-09,4.34228e-05,0.000211763,4.63117e-09,5.25158e-06,5.3639e-06,3.38075e-05,0.00726158,0.00726037,0.00984354,0.0195063,0.019505,0.0495419,1.01057e-11,1.01225e-11,1.78364e-11,5.7093e-08,5.42826e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.197513,0.22258,0.000168612,0.00412958,0.00273703,0.00531347,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
345252000,0.999931,-0.00463562,0.00102691,-0.0107051,-0.0145289,-0.706906,0.744046,0.112082,101.374,-63.9728,7.17006e-07,2.26341e-06,3.30975e-06,-0.00010068,-0.0011886,-1.1561e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.74052e-09,4.31014e-05,0.000212001,4.66651e-09,5.24265e-06,5.35504e-06,3.38287e-05,0.00722125,0.0072201,0.00988019,0.0193641,0.0193628,0.0499604,1.01001e-11,1.01164e-11,1.78276e-11,5.70906e-08,5.42812e-08,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.196792,0.223518,0.0026136,0.00337739,0.00501901,0.000567141,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
345444000,0.999931,-0.00468804,0.000894415,-0.0107036,-0.0149954,-0.69605,0.753603,0.10976,101.239,-63.8242,7.20498e-07,2.26689e-06,3.32153e-06,-0.000100708,-0.00118862,-1.34255e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.72808e-09,4.42883e-05,0.000217538,4.67963e-09,5.23376e-06,5.34634e-06,3.38488e-05,0.00718119,0.00718008,0.00984798,0.0192231,0.0192219,0.0497569,1.00944e-11,1.01104e-11,1.78189e-11,5.70883e-08,5.428e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.196074,0.223063,0.00861989,0.00402351,0.00354628,0.0114277,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
345636000,0.999931,-0.00446445,0.000841446,-0.0108687,-0.0144309,-0.688107,0.75965,0.107043,101.104,-63.6755,7.3042e-07,2.26858e-06,3.33419e-06,-0.000100746,-0.00118867,-1.48529e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.74039e-09,4.44122e-05,0.00021891,4.73251e-09,5.22494e-06,5.33731e-06,3.39194e-05,0.0071425,0.00714144,0.00981556,0.0190833,0.0190822,0.0495529,1.00888e-11,1.01044e-11,1.7822e-11,5.70863e-08,5.42788e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.19536,0.222605,0.0102701,0.00151879,0.00409864,0.00241411,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
