timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
104856000,-0.00144385,-0.000926368,-0.000557005,0.0,1.0,-0.000722055,-0.000462983,-0.000278837,0.0,0.0,-0.491996,1,0,0,0,0,0
104948000,-0.00114067,-0.000913087,-0.000540198,0.0,1.0,-0.000570458,-0.00045639,-0.000270359,0.0,0.0,-0.492708,1,0,0,0,0,0
105044000,-0.000705181,0.000627117,-0.000604238,0.0,1.0,-0.000352496,0.000313665,-0.000302009,0.0,0.0,-0.491951,1,0,0,0,0,0
105136000,-0.00242684,-0.00100549,-0.000534652,0.0,0.999999,-0.00121355,-0.000502423,-0.000267936,0.0,0.0,-0.491323,1,0,0,0,0,0
105228000,-0.000365689,-0.00109462,-0.000640201,0.0,1.0,-0.00018302,-0.000547251,-0.0003202,0.0,0.0,-0.492148,1,0,0,0,0,0
105324000,-0.000244884,-0.000926808,-0.000112836,0.0,1.0,-0.000122468,-0.000463397,-5.64746e-05,0.0,0.0,-0.49173,1,0,0,0,0,0
105416000,-4.06029e-05,-0.000566223,-0.000465664,0.0,1.0,-2.03673e-05,-0.000283107,-0.000232838,0.0,0.0,-0.491324,1,0,0,0,0,0
105508000,-0.00181689,-0.0013343,-0.000482437,0.0,0.999999,-0.000908608,-0.00066693,-0.000241825,0.0,0.0,-0.490744,1,0,0,0,0,0
105604000,-0.00141021,-0.00118986,-0.000559832,0.0,1.0,-0.000705273,-0.000594734,-0.000280336,0.0,0.0,-0.492058,1,0,0,0,0,0
105696000,-0.00159027,-0.000644961,-0.000736648,0.0,1.0,-0.000795253,-0.000322187,-0.00036858,0.0,0.0,-0.491929,1,0,0,0,0,0
105788000,-0.000121322,-0.000649538,-0.000702782,0.0,1.0,-6.07752e-05,-0.000324748,-0.000351411,0.0,0.0,-0.491423,1,0,0,0,0,0
105884000,0.000457485,-0.00114773,-0.000640065,0.0,1.0,0.000228559,-0.000573937,-0.000319901,0.0,0.0,-0.491398,1,0,0,0,0,0
105976000,-0.000536255,-0.00132731,-0.000636468,0.0,1.0,-0.000268339,-0.000663568,-0.000318412,0.0,0.0,-0.491523,1,0,0,0,0,0
106068000,-0.000636918,-0.000605143,-0.000778009,0.0,1.0,-0.000318576,-0.000302447,-0.000389101,0.0,0.0,-0.491289,1,0,0,0,0,0
106164000,0.000330337,-0.000394874,-0.0005038,0.0,1.0,0.000165119,-0.000197479,-0.000251867,0.0,0.0,-0.491189,1,0,0,0,0,0
106256000,-0.000146232,7.7874e-05,-0.000567372,0.0,1.0,-7.31049e-05,3.89577e-05,-0.000283683,0.0,0.0,-0.491849,1,0,0,0,0,0
106348000,-0.000405665,0.000732641,-0.000477521,0.0,1.0,-0.000202745,0.000366369,-0.000238686,0.0,0.0,-0.491423,1,0,0,0,0,0
106444000,-0.000980677,0.000758212,-0.000427791,0.0,1.0,-0.000490257,0.000379211,-0.000213709,0.0,0.0,-0.489731,1,0,0,0,0,0
106536000,-2.98871e-05,0.00113103,-0.000461383,0.0,1.0,-1.48131e-05,0.00056552,-0.000230683,0.0,0.0,-0.490907,1,0,0,0,0,0
106628000,0.000400143,0.00161778,-0.00026337,0.0,1.0,0.000200178,0.000808862,-0.000131847,0.0,0.0,-0.491008,1,0,0,0,0,0
106724000,0.000311025,0.000737386,-0.000122831,0.0,1.0,0.000155535,0.000368683,-6.1473e-05,0.0,0.0,-0.49068,1,0,0,0,0,0
106816000,0.000644364,0.00124939,-0.000219235,0.0,1.0,0.00032225,0.000624657,-0.000109819,0.0,0.0,-0.490726,1,0,0,0,0,0
106908000,0.00107133,0.000590188,-0.000357168,0.0,1.0,0.000535717,0.000294998,-0.000178742,0.0,0.0,-0.491028,1,0,0,0,0,0
107004000,0.00203463,0.00065601,-0.00016315,0.0,0.999999,0.00101734,0.000327922,-8.19089e-05,0.0,0.0,-0.490998,1,0,0,0,0,0
107096000,0.00256591,0.000100231,-0.000380966,0.0,0.999999,0.00128296,4.9871e-05,-0.000190547,0.0,0.0,-0.490949,1,0,0,0,0,0
107188000,0.000754035,0.000153702,-0.000224624,0.0,1.0,0.000377026,7.68085e-05,-0.000112341,0.0,0.0,-0.491107,1,0,0,0,0,0
107284000,0.000422214,0.000532561,-0.00024622,0.0,1.0,0.00021114,0.000266254,-0.000123166,0.0,0.0,-0.490485,1,0,0,0,0,0
107376000,0.000652254,-0.000484952,-0.000151108,0.0,1.0,0.000326108,-0.0002425,-7.5475e-05,0.0,0.0,-0.489245,1,0,0,0,0,0
107468000,-0.000224901,-0.000414394,0.000132764,0.0,1.0,-0.000112437,-0.000207204,6.63587e-05,0.0,0.0,-0.489086,1,0,0,0,0,0
107564000,0.000503168,0.00115504,2.73382e-05,0.0,1.0,0.000251576,0.000577526,1.35238e-05,0.0,0.0,-0.490196,1,0,0,0,0,0
107656000,0.00105268,0.000495131,2.09704e-05,0.0,1.0,0.000526339,0.000247571,1.03549e-05,0.0,0.0,-0.489864,1,0,0,0,0,0
107748000,0.000664464,-0.000457762,-0.000188346,0.0,1.0,0.000332211,-0.000228912,-9.40968e-05,0.0,0.0,-0.490512,1,0,0,0,0,0
107844000,0.000514184,-0.00193096,-0.000134613,0.0,1.0,0.000257027,-0.000965499,-6.70583e-05,0.0,0.0,-0.491641,1,0,0,0,0,0
107936000,0.000810867,-0.0019244,-0.00047319,0.0,0.999999,0.000405206,-0.000962294,-0.000236205,0.0,0.0,-0.489496,1,0,0,0,0,0
108028000,0.00142687,-0.00153878,-0.00075052,0.0,0.999999,0.000713144,-0.000769658,-0.000374711,0.0,0.0,-0.490833,1,0,0,0,0,0
108124000,0.00276894,-0.00199219,-0.000576492,0.0,0.999999,0.00138418,-0.000996491,-0.000286866,0.0,0.0,-0.491476,1,0,0,0,0,0
108216000,0.00354933,-0.00127965,-0.000542244,0.0,0.999998,0.00177449,-0.000640303,-0.000269986,0.0,0.0,-0.491337,1,0,0,0,0,0
108308000,0.00453514,-0.00113967,-0.000609685,0.0,0.999997,0.0022674,-0.000570525,-0.00030355,0.0,0.0,-0.49113,1,0,0,0,0,0
108404000,0.00337755,-0.00033043,-0.000489287,0.0,0.999999,0.00168873,-0.000165628,-0.000244364,0.0,0.0,-0.49121,1,0,0,0,0,0
108496000,0.00223244,0.00103125,-0.000338153,0.0,0.999999,0.00111631,0.000515434,-0.000169652,0.0,0.0,-0.491849,1,0,0,0,0,0
108588000,0.00246559,0.00184775,-0.000293374,0.0,0.999999,0.00123293,0.000923691,-0.000147826,0.0,0.0,-0.490581,1,0,0,0,0,0
108684000,0.000892495,0.000574043,-0.000563162,0.0,1.0,0.000446328,0.000286896,-0.000281709,0.0,0.0,-0.491247,1,0,0,0,0,0
108776000,0.000448806,0.00113767,-0.000617495,0.0,1.0,0.000224578,0.000568763,-0.000308875,0.0,0.0,-0.491518,1,0,0,0,0,0
108868000,0.000898242,0.000150908,-0.000547904,0.0,1.0,0.000449142,7.5331e-05,-0.000273986,0.0,0.0,-0.491027,1,0,0,0,0,0
108964000,0.00123194,-2.13813e-06,-0.000461129,0.0,1.0,0.000615971,-1.21109e-06,-0.000230564,0.0,0.0,-0.490274,1,0,0,0,0,0
109056000,0.00127735,0.000520718,-0.000343619,0.0,1.0,0.000638719,0.000260249,-0.000171976,0.0,0.0,-0.490299,1,0,0,0,0,0
109148000,0.000110453,0.00148624,-0.000633219,0.0,1.0,5.5462e-05,0.000743101,-0.000316651,0.0,0.0,-0.491169,1,0,0,0,0,0
109244000,0.000768704,0.00135113,-0.000541878,0.0,1.0,0.000384535,0.000675461,-0.000271198,0.0,0.0,-0.49052,1,0,0,0,0,0
109336000,0.000955701,0.0006092,-0.000743914,0.0,1.0,0.000477964,0.000304422,-0.000372103,0.0,0.0,-0.491036,1,0,0,0,0,0
109428000,0.00214182,0.00148168,-0.000909324,0.0,0.999999,0.00107124,0.000740355,-0.000455455,0.0,0.0,-0.490988,1,0,0,0,0,0
109524000,0.00139881,0.00172351,-0.000680889,0.0,0.999999,0.000699696,0.000861515,-0.000341047,0.0,0.0,-0.490783,1,0,0,0,0,0
109616000,0.00111698,-4.851e-05,-0.000543616,0.0,1.0,0.000558481,-2.44068e-05,-0.000271794,0.0,0.0,-0.490984,1,0,0,0,0,0
109708000,0.00145551,-2.94479e-05,-0.000447946,0.0,1.0,0.000727752,-1.4887e-05,-0.000223962,0.0,0.0,-0.49016,1,0,0,0,0,0
109804000,-2.02345e-05,1.17573e-05,-0.000172887,0.0,1.0,-1.01168e-05,5.87954e-06,-8.64437e-05,0.0,0.0,-0.49036,1,0,0,0,0,0
109896000,0.000121556,-0.000113597,-0.000226803,0.0,1.0,6.07718e-05,-5.68056e-05,-0.000113398,0.0,0.0,-0.491239,1,0,0,0,0,0
