timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
381236000,0.0177986,0.0409618,0.008376,0.0154178,0.0346069,-0.003479,-0.00311035,-0.0307683,-0.795078,0.000654217,0.0,0.0,0.0,0.0,0.0,0.257343,0.257343,0.572442,0.269797,0.269797,4.0499,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000162518,0.00385814,0.00738631,0.0,0.0,0.0,0.0,0.0,0.0
381428000,0.0166623,0.0407284,0.00143331,0.0225964,0.0326385,-0.0227966,-0.00311035,-0.0307683,-0.795078,0.00090003,0.0,0.0,0.0,0.0,0.0,0.257342,0.257342,0.572448,0.269796,0.269796,4.04996,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000184885,0.00453489,0.00854425,0.0,0.0,0.0,0.0,0.0,0.0
381620000,0.0162943,0.0374316,0.00171977,0.0182654,0.0382385,0.0841675,-0.00311035,-0.0307683,-0.795078,-0.00235466,0.0,0.0,0.0,0.0,0.0,0.257343,0.257343,0.572386,0.269795,0.269795,4.05002,0.00751964,0.00519539,0.00751992,0.0901394,0.0,0.0,0.0,0.0,0.0,0.000195966,0.00477244,0.00929287,0.0,0.0,0.0,0.0,0.0,0.0
381812000,0.0240499,0.0368898,-0.00068444,0.0037275,0.035141,0.019989,-0.00311035,-0.0307683,-0.795078,-0.00131152,0.0,0.0,0.0,0.0,0.0,0.257344,0.257344,0.572392,0.269795,0.269795,4.04991,0.00751964,0.00519539,0.00751992,0.0901394,0.0,0.0,0.0,0.0,0.0,0.000194088,0.00465502,0.00915745,0.0,0.0,0.0,0.0,0.0,0.0
382004000,0.0238624,0.0252219,6.3777e-06,0.000334203,0.039566,0.019165,-0.00311035,-0.0307683,-0.795078,-0.00483055,0.0,0.0,0.0,0.0,0.0,0.257344,0.257345,0.572398,0.269794,0.269794,4.04996,0.00751964,0.00519539,0.00751992,0.0901394,0.0,0.0,0.0,0.0,0.0,0.000182416,0.00415533,0.00841797,0.0,0.0,0.0,0.0,0.0,0.0
382196000,0.0347122,0.0280226,-0.00509351,0.0299937,0.0213776,-0.0568848,-0.00311035,-0.0307683,-0.795078,-0.00125619,0.0,0.0,0.0,0.0,0.0,0.257344,0.257344,0.572404,0.269794,0.269794,4.04976,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000191523,0.00448715,0.00899153,0.0,0.0,0.0,0.0,0.0,0.0
382388000,0.0340483,0.0181823,-0.00604421,0.0333787,0.042923,0.00466919,-0.00311035,-0.0307683,-0.795078,0.000779571,0.0,0.0,0.0,0.0,0.0,0.257345,0.257345,0.572411,0.269794,0.269794,4.04982,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000223299,0.00523726,0.0102077,0.0,0.0,0.0,0.0,0.0,0.0
382580000,0.0307512,0.0190349,-0.00863189,0.0256713,0.0257874,-0.0934753,-0.00311035,-0.0307683,-0.795078,-0.00102602,0.0,0.0,0.0,0.0,0.0,0.257348,0.257348,0.572417,0.269794,0.269794,4.05019,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000224149,0.00497268,0.0096519,0.0,0.0,0.0,0.0,0.0,0.0
382772000,0.0412058,0.0206164,-0.00999874,0.0218256,0.0221863,-0.0252991,-0.00311035,-0.0307683,-0.795078,-0.00169812,0.0,0.0,0.0,0.0,0.0,0.257327,0.257327,0.572435,0.269719,0.269719,4.05025,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.0001637,0.00287329,0.00589759,0.0,0.0,0.0,0.0,0.0,0.0
382964000,0.0366647,0.012578,-0.00284976,0.0351868,0.0157166,-0.0860291,-0.00311035,-0.0307683,-0.795078,-0.0016337,0.0,0.0,0.0,0.0,0.0,0.257329,0.257329,0.572441,0.269719,0.269719,4.0503,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000169659,0.00337551,0.00722383,0.0,0.0,0.0,0.0,0.0,0.0
