timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
310320000,6,1491.95,1486.18,1490.94,1488.6,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310416000,6,1490.08,1487.23,1489.49,1490.44,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310512000,6,1491.69,1489.51,1490.79,1489.29,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310608000,6,1488.23,1493.27,1486.6,1492.5,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310708000,6,1489.94,1491.37,1488.74,1488.7,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310804000,6,1495.47,1483.96,1499.33,1478.75,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310900000,6,1487.78,1491.34,1487.99,1493.28,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310996000,6,1493.29,1486.6,1487.39,1494.54,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311092000,6,1495.53,1488.15,1491.62,1484.58,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311188000,6,1492.89,1487.36,1497.01,1481.17,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311284000,6,1488.87,1488.18,1485.82,1489.11,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311380000,6,1483.26,1494.28,1489.67,1489.26,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311476000,6,1490.1,1490.83,1493.46,1485.26,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311572000,6,1489.59,1486.13,1490.01,1489.91,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311668000,6,1486.28,1491.78,1486.43,1490.83,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311764000,6,1483.65,1492.13,1487.93,1493.22,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311860000,6,1489.39,1487.23,1491.95,1485.31,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311956000,6,1487.02,1491.08,1487.01,1492.22,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312052000,6,1489.16,1490.86,1488.56,1487.19,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312148000,6,1490.26,1491.26,1484.27,1491.86,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312244000,6,1490.26,1484.61,1494.63,1487.74,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312340000,6,1493.02,1486.12,1491.91,1487.26,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312436000,6,1489.24,1489.87,1490.46,1489.79,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312532000,6,1494.53,1482.79,1488.96,1488.83,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312628000,6,1495.93,1485.09,1495.41,1486.76,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312724000,6,1488.34,1492.19,1489.84,1487.37,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312824000,6,1482.38,1497.6,1484.06,1494.59,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312920000,6,1492.49,1484.69,1491.07,1491.52,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313016000,6,1487.08,1492.99,1490.97,1490.19,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313112000,6,1486.65,1489.81,1487.86,1492.76,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313208000,6,1488.88,1490.8,1485.11,1494.6,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313308000,6,1491.66,1487.7,1493.18,1487.38,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313404000,6,1490.43,1487.11,1488.91,1488.96,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313500000,6,1482.32,1496.76,1484.04,1493.14,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313596000,6,1492.37,1485.69,1487.64,1486.02,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313696000,6,1496.36,1479.5,1491.59,1486.96,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313792000,6,1487.56,1492.17,1486.49,1489.91,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
