timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
3828000,0,0.0,0.0,-0.00584819,-0.00502769,0.00889228,-8.71213e-07,-1.84043e-06,0.0,-0.00557536,-0.00623278,0.00350318,0.00177688,-0.000217803,-0.000460107,0.0,0.0442447,0.0291794,0.0470495,0.00743411,0.0,0.1,-0.00350318,0.17595,0.365186,0.297442,0.338352,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3924000,0,0.0,0.0,-0.00481859,-0.00466156,0.00686159,-8.71213e-07,-1.84043e-06,0.0,-0.00425975,-0.00470756,0.00249818,-0.00129957,-0.000217803,-0.000460107,0.0,0.046575,-0.0202267,0.0352189,0.0075468,0.0,0.1,-0.00249818,0.177417,0.366132,0.294708,0.338207,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4020000,0,0.0,0.0,-0.00372775,-0.00425284,0.00445742,-8.71213e-07,-1.84043e-06,0.0,-0.00106239,-0.00443209,0.000986754,-0.00480645,-0.000217803,-0.000460107,0.0,-0.0147418,0.0409826,-0.0441233,0.00737993,0.0,0.1,-0.000986754,0.173291,0.361197,0.285673,0.334715,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4116000,0,0.0,0.0,-0.00254036,-0.0038839,0.00142353,-8.71213e-07,-1.84043e-06,0.0,0.000605341,-0.00541405,-0.000133877,-0.00815135,-0.000217803,-0.000460107,0.0,0.0157591,0.00195707,0.0348417,0.00709311,0.0,0.1,0.000133877,0.174508,0.362457,0.283181,0.33476,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4212000,0,0.0,0.0,-0.00138624,-0.00351215,-0.00222129,-8.71213e-07,-1.84043e-06,0.0,0.00214444,-0.00529027,-0.00367052,-0.014056,-0.000217803,-0.000460107,0.0,-0.0149482,-0.058693,0.0272971,0.00695649,0.0,0.1,0.00367052,0.175645,0.363846,0.280877,0.334795,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4308000,0,0.0,0.0,-0.000249164,-0.00319532,-0.00589433,-8.71213e-07,-1.84043e-06,0.0,0.00395999,-0.00429553,-0.00578194,-0.0179293,-0.000217803,-0.000460107,0.0,0.0206402,0.00172201,-0.00796653,0.00685038,0.0,0.1,0.00578194,0.17145,0.359401,0.272833,0.331318,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4404000,0,0.0,0.0,0.000960406,-0.00297602,-0.00663733,-8.71213e-07,-1.84043e-06,0.0,0.00712478,-0.00596442,-0.0051703,-0.0157774,-0.000217803,-0.000460107,0.0,0.0232667,-0.00349294,0.0414951,0.00684011,0.0,0.105765,0.0051703,0.172606,0.361056,0.271267,0.331245,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4500000,0,0.0,0.0,0.00215353,-0.00293472,-0.00569867,-8.71213e-07,-1.84043e-06,0.0,0.00792977,-0.00612189,-0.00469225,-0.0124643,-0.000217803,-0.000460107,0.0,-0.0063535,0.0175455,-0.0109682,0.00668653,0.0,0.107247,0.00469225,0.173727,0.362779,0.26987,0.331024,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4596000,0,0.0,0.0,0.00330905,-0.00300589,-0.00354428,-8.71213e-07,-1.84043e-06,0.0,0.00995281,-0.00714009,-0.00265675,-0.00696016,-0.000217803,-0.000460107,0.0,0.0748471,0.0257408,-0.00901334,0.00668827,0.0,0.109198,0.00265675,0.16963,0.358581,0.26295,0.327107,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4692000,0,0.0,0.0,0.00441043,-0.00318147,-0.00219581,-8.71213e-07,-1.84043e-06,0.0,0.0106576,-0.00763088,-0.00145291,-0.0038616,-0.000217803,-0.000460107,0.0,0.00131047,-0.00186185,-0.0116108,0.00690936,0.0,0.103443,0.00145291,0.170663,0.360309,0.261988,0.326464,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4788000,0,0.0,0.0,0.00541893,-0.00354804,-0.000401274,-8.71213e-07,-1.84043e-06,0.0,0.0127547,-0.010511,0.00151524,0.00102858,-0.000217803,-0.000460107,0.0,0.0430697,0.0865461,-0.040343,0.00677045,0.0,0.107579,-0.00151524,0.171717,0.362053,0.261196,0.32562,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4884000,0,0.0,0.0,0.0064145,-0.00399839,0.00304744,-8.71213e-07,-1.84043e-06,0.0,0.0123612,-0.0109171,0.00502945,0.00753126,-0.000217803,-0.000460107,0.0,-0.0499053,-0.0261589,0.0448087,0.00687898,0.0,0.107366,-0.00502945,0.167858,0.357923,0.255309,0.321107,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4980000,0,0.0,0.0,0.00724356,-0.00454954,0.00564613,-8.71213e-07,-1.84043e-06,0.0,0.0135038,-0.0113563,0.00641057,0.0103835,-0.000217803,-0.000460107,0.0,-0.0674805,-0.0112628,-0.00100862,0.00681898,0.0,0.101989,-0.00641057,0.168969,0.359631,0.254903,0.319845,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
5076000,0,0.0,0.0,0.0,0.0,0.00760908,-8.71213e-07,-1.84043e-06,0.0,0.0151682,-0.0110034,0.00591646,0.0105596,-0.000217803,-0.000460107,0.0,-0.0119186,-0.0756819,0.0625458,0.00652488,0.0,0.105088,-0.00591646,0.165391,0.355552,0.249685,0.314988,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5172000,0,0.0,0.0,0.0,0.0,0.0100068,-8.71213e-07,-1.84043e-06,0.0,0.0146732,-0.0119772,0.00605063,0.0117206,-0.000217803,-0.000460107,0.0,0.00744063,-0.0272678,-0.0142222,0.00613977,0.0,0.10247,-0.00605063,0.166559,0.35717,0.249589,0.31332,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5268000,0,0.0,0.0,0.0,0.0,0.0121832,-8.71213e-07,-1.84043e-06,0.0,0.0148256,-0.0123289,0.00856954,0.0148833,-0.000217803,-0.000460107,0.0,-0.0230014,-0.00597931,0.0478001,0.00599682,0.0,0.101438,-0.00856954,0.167756,0.358732,0.249581,0.311454,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5364000,0,0.0,0.0,0.0,0.0,0.013203,-8.71213e-07,-1.84043e-06,0.0,0.014462,-0.0115845,0.00717478,0.0127746,-0.000217803,-0.000460107,0.0,0.0174573,0.0285251,-0.0354024,0.00621147,0.0,0.1,-0.00717478,0.164353,0.354523,0.24481,0.306067,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5460000,0,0.0,0.0,0.0,0.0,0.0121496,-8.71213e-07,-1.84043e-06,0.0,0.0157759,-0.0122378,0.00548434,0.00865374,-0.000217803,-0.000460107,0.0,0.00384722,-0.0126914,0.0101114,0.00602755,0.0,0.1,-0.00548434,0.165588,0.355942,0.244798,0.303859,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5556000,0,0.0,0.0,0.0,0.0,0.0110879,-8.71213e-07,-1.84043e-06,0.0,0.0162285,-0.0121819,0.0037416,0.00500452,-0.000217803,-0.000460107,0.0,0.00769586,-0.0450695,-0.0560293,0.00606216,0.0,0.1,-0.0037416,0.166841,0.357281,0.244851,0.30149,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5652000,0,0.0,0.0,0.0,0.0,0.0113553,-8.71213e-07,-1.84043e-06,0.0,0.0168329,-0.0120635,0.00550593,0.00649695,-0.000217803,-0.000460107,0.0,0.0661717,0.0081813,-0.0124807,0.00568564,0.0,0.1,-0.00550593,0.163548,0.352912,0.240137,0.295727,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5748000,0,0.0,0.0,0.0,0.0,0.0113963,-8.71213e-07,-1.84043e-06,0.0,0.0182864,-0.0114374,0.00388505,0.00441017,-0.000217803,-0.000460107,0.0,-0.00866753,0.0526446,-0.000895932,0.00571116,0.0,0.1,-0.00388505,0.164806,0.354086,0.240089,0.293106,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5844000,0,0.0,0.0,0.0,0.0,0.0103651,-8.71213e-07,-1.84043e-06,0.0,0.0181831,-0.0110409,0.00335678,0.00256515,-0.000217803,-0.000460107,0.0,0.0146911,0.0358554,0.0226554,0.00582015,0.0,0.1,-0.00335678,0.166063,0.355174,0.239892,0.290368,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
5940000,0,0.0,0.0,0.0,0.0,0.0106719,-8.71213e-07,-1.84043e-06,0.0,0.0155007,-0.0103265,0.00299254,0.00237509,-0.000217803,-0.000460107,0.0,-0.0396513,-0.000958437,0.0011446,0.00600167,0.0,0.1,-0.00299254,0.16282,0.350655,0.235127,0.284399,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6036000,0,0.0,0.0,0.0,0.0,0.00915615,-8.71213e-07,-1.84043e-06,0.0,0.0142277,-0.00905505,0.000549731,-0.00157873,-0.000217803,-0.000460107,0.0,0.0077781,-0.0231472,0.0528479,0.00584999,0.0,0.1,-0.000549731,0.16405,0.351581,0.234804,0.281505,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6132000,0,0.0,0.0,0.0,0.0,0.00743021,-8.71213e-07,-1.84043e-06,0.0,0.0115723,-0.00769711,0.000489435,-0.00310478,-0.000217803,-0.000460107,0.0,-0.00512573,-0.000308419,-0.0391658,0.00596146,0.0,0.1,-0.000489435,0.160929,0.347072,0.230073,0.275554,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6228000,0,0.0,0.0,0.0,0.0,0.00645196,-8.71213e-07,-1.84043e-06,0.0,0.0111148,-0.00726701,0.00160249,-0.00252879,-0.000217803,-0.000460107,0.0,-0.00380471,0.00334383,0.0795536,0.0061191,0.0,0.1,-0.00160249,0.162117,0.347846,0.229584,0.272562,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6324000,0,0.0,0.0,0.0,0.0,0.00621506,-8.71213e-07,-1.84043e-06,0.0,0.0127943,-0.00699862,-0.000530331,-0.00438014,-0.000217803,-0.000460107,0.0,0.0118016,0.0320168,-0.0482583,0.00630839,0.0,0.1,0.000530331,0.163281,0.348538,0.228946,0.269517,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6420000,0,0.0,0.0,0.0,0.0,0.0055122,-8.71213e-07,-1.84043e-06,0.0,0.0111477,-0.00350978,-0.00241142,-0.00627027,-0.000217803,-0.000460107,0.0,0.00211149,0.0519954,-0.0504283,0.00626957,0.0,0.1,0.00241142,0.160146,0.343948,0.223978,0.263606,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6516000,0,0.0,0.0,0.0,0.0,0.00468564,-8.71213e-07,-1.84043e-06,0.0,0.0111175,-0.0013645,-0.0017257,-0.00572741,-0.000217803,-0.000460107,0.0,0.0736012,-0.0197388,-0.0231937,0.00637797,0.0,0.1,0.0017257,0.16125,0.34451,0.223271,0.260537,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6612000,0,0.0,0.0,0.0,0.0,0.00330281,-8.71213e-07,-1.84043e-06,0.0,0.00802011,0.00217448,-0.00270757,-0.00741694,-0.000217803,-0.000460107,0.0,-0.0374333,0.0933233,-0.0318913,0.00665316,0.0,0.1,0.00270757,0.162328,0.344999,0.222418,0.257446,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6708000,0,0.0,0.0,0.0,0.0,0.00226318,-8.71213e-07,-1.84043e-06,0.0,0.00877252,0.00389598,-0.00235105,-0.0071994,-0.000217803,-0.000460107,0.0,0.0193693,0.0150024,-0.0519231,0.00700586,0.0,0.1,0.00235105,0.15918,0.340378,0.217338,0.251679,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6804000,0,0.0,0.0,0.0,0.0,0.00130123,-8.71213e-07,-1.84043e-06,0.0,0.00911664,0.0064303,-0.00219105,-0.00718997,-0.000217803,-0.000460107,0.0,-0.0155045,0.0161532,0.0101887,0.007069,0.0,0.100588,0.00219105,0.160189,0.34076,0.216354,0.248619,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
6900000,0,0.0,0.0,0.0,0.0,0.0013202,-8.71213e-07,-1.84043e-06,0.0,0.00956562,0.00921762,-0.00148149,-0.0056759,-0.000217803,-0.000460107,0.0,0.0235328,0.0740709,0.00976026,0.00706177,0.0,0.103506,0.00148149,0.161168,0.341079,0.215241,0.24556,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
