timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
41316000,41312000,4e+06,1.0,0.0209163,26.9412,0.0,190,191,6,0,0,2,0,0,1,1,43
42000000,0,4e+06,1.0,0.0,14.6355,0.0,0,0,0,0,0,0,0,0,0,1,37
42316000,42312000,4e+06,1.0,0.0209163,26.8108,0.0,190,191,6,0,0,2,0,0,1,1,43
43000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
43316000,42312000,4e+06,1.0,0.0209163,26.9861,0.0,190,191,6,0,0,2,0,0,1,1,43
44000000,0,4e+06,1.0,0.0,14.5707,0.0,0,0,0,0,0,0,0,0,0,1,37
44316000,43316000,4e+06,1.0,0.0209163,26.7809,0.0,190,191,6,0,0,2,0,0,1,1,43
44324000,44320000,4e+06,1.0,0.0209163,26.7809,0.0,190,191,6,0,0,2,0,0,1,1,43
45000000,0,4e+06,1.0,0.0,14.5857,0.0,0,0,0,0,0,0,0,0,0,1,37
45324000,45320000,4e+06,1.0,0.0209163,27.0458,0.0,190,191,6,0,0,2,0,0,1,1,43
46000000,0,4e+06,1.0,0.0,14.7331,0.0,0,0,0,0,0,0,0,0,0,1,37
46324000,45320000,4e+06,1.0,0.0209163,26.8108,0.0,190,191,6,0,0,2,0,0,1,1,43
47000000,0,4e+06,1.0,0.0,14.6145,0.0,0,0,0,0,0,0,0,0,0,1,37
47324000,46324000,4e+06,1.0,0.129482,26.9004,0.0,190,191,6,0,0,2,0,0,1,1,43
48000000,0,4e+06,1.0,0.0,14.6265,0.0,0,0,0,0,0,0,0,0,0,1,37
48324000,46324000,4e+06,1.0,0.0,26.8157,0.0,190,191,6,0,0,2,0,0,1,1,43
49000000,0,4e+06,1.0,0.0,14.5498,0.0,0,0,0,0,0,0,0,0,0,1,37
49324000,46324000,4e+06,1.0,0.0,26.8486,0.0,190,191,6,0,0,2,0,0,1,1,43
50000000,0,4e+06,1.0,0.0,14.6066,0.0,0,0,0,0,0,0,0,0,0,1,37
50324000,46324000,4e+06,1.0,0.0438247,26.8307,0.0,190,191,6,0,0,2,0,0,1,1,43
50968000,50964000,4e+06,1.0,0.0438247,26.8307,0.0,190,191,6,0,0,2,0,0,1,1,43
