timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
27844000,47.3977423439,8.54559439035,505.725,16.8849,-0.0,-0.0276443,-0.0140743,-2.98832,0.00823521,2.29875,2.40036,0.0,2,0,0,0
28036000,47.3977423375,8.54559437104,506.305,17.4446,-0.0,-0.0285117,-0.0143743,-2.98558,0.00805297,2.29865,2.40045,0.0,2,0,0,0
28236000,47.3977423362,8.54559435599,506.908,18.0271,-0.0,-0.0293361,-0.0112895,-2.98689,0.00847388,2.29863,2.40046,0.0,2,0,0,0
28428000,47.3977423338,8.54559435165,507.485,18.5849,-0.0,-0.0270326,-0.0104809,-2.98577,0.00828635,2.29854,2.40041,0.0,2,0,0,0
28620000,47.397742328,8.54559434417,508.063,19.1424,-0.0,-0.0271976,-0.0101291,-2.98838,0.00838646,2.29846,2.40036,0.0,2,0,0,0
28812000,47.3977423085,8.54559432288,508.642,19.7114,-0.0,-0.0292137,-0.0107349,-2.9876,0.00826027,2.29839,2.40032,0.0,2,0,0,0
29004000,47.3977422739,8.54559430208,509.22,20.2695,-0.0,-0.0276655,-0.00744774,-2.98836,0.00816459,2.29832,2.4004,0.0,2,0,0,0
29196000,47.3977422459,8.54559428318,509.799,20.8284,-0.0,-0.0240019,-0.00650874,-2.98346,0.00794367,2.29826,2.40036,0.0,2,0,0,0
29388000,47.3977422274,8.54559426405,510.375,21.3842,-0.0,-0.0223645,-0.00932164,-2.9756,0.00833092,2.29819,2.40031,0.0,2,0,0,0
29580000,47.3977422044,8.54559425299,510.948,21.9373,-0.0,-0.0220327,-0.00608257,-2.97343,0.00861295,2.29814,2.40027,0.0,2,0,0,0
29772000,47.3977421747,8.54559426581,511.518,22.4875,-0.0,-0.0206305,-0.00269216,-2.97279,0.00866709,2.29808,2.40035,0.0,2,0,0,0
29964000,47.3977421399,8.54559429223,512.09,23.0394,-0.0,-0.0154295,-0.000689827,-2.98457,0.00844404,2.29883,2.40041,0.0,2,0,0,0
30156000,47.397742112,8.54559430632,512.666,23.5949,-0.0,-0.0138869,-0.00551751,-2.9878,0.00819273,2.29877,2.40036,0.0,2,0,0,0
30348000,47.397742091,8.5455942974,513.24,24.1498,-0.0,-0.00915942,-0.007759,-2.9886,0.00798189,2.29872,2.40032,0.0,2,0,0,0
30540000,47.3977420789,8.54559426214,513.815,24.7045,-0.0,-0.00827957,-0.00964849,-2.98821,0.00817816,2.29866,2.40041,0.0,2,0,0,0
30732000,47.3977420718,8.5455942105,514.39,25.2592,-0.0,-0.0112643,-0.0102819,-2.98556,0.00841675,2.2986,2.40036,0.0,2,0,0,0
30924000,47.3977420646,8.54559417409,514.965,25.8141,-0.0,-0.0113487,-0.00796831,-2.98633,0.00842113,2.29855,2.40032,0.0,2,0,0,0
31116000,47.3977420581,8.54559414587,515.539,26.3686,-0.0,-0.00898472,-0.00601103,-2.98322,0.00809833,2.29849,2.40041,0.0,2,0,0,0
31308000,47.3977420458,8.54559411376,516.113,26.9326,-0.0,-0.010584,-0.00496093,-2.98321,0.00860354,2.29843,2.40036,0.0,2,0,0,0
31500000,47.3977420322,8.54559408594,516.687,27.4859,-0.0,-0.00902309,-0.00468537,-2.98059,0.00855417,2.29838,2.40032,0.0,2,0,0,0
31700000,47.3977420132,8.54559406406,517.283,28.0624,-0.0,-0.00851977,-0.00210372,-2.98651,0.00773953,2.29838,2.40033,0.0,2,0,0,0
31892000,47.3977420009,8.54559405591,517.857,28.616,-0.0,-0.0068083,0.00176117,-2.98668,0.00756665,2.29832,2.40029,0.0,2,0,0,0
32084000,47.397742,8.54559407611,518.431,29.17,-0.0,8.61506e-05,0.00471126,-2.99078,0.00788784,2.29826,2.40038,0.0,2,0,0,0
