timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
147688000,147688000,0.00318312,0.00224181,0.000686057,0.490184,0.0,0.0,0.0,1.0
147788000,147788000,-0.00167036,0.00436593,-0.000454622,0.489508,0.0,0.0,0.0,1.0
147888000,147888000,0.00127276,-0.000931603,0.00263794,0.49057,0.0,0.0,0.0,1.0
147988000,147988000,0.00161273,-0.004793,-0.0016346,0.490496,0.0,0.0,0.0,1.0
148084000,148084000,0.00338812,0.000659537,0.00190144,0.490776,0.0,0.0,0.0,1.0
148184000,148184000,0.000500933,-0.00288223,1.17181e-05,0.490613,0.0,0.0,0.0,1.0
148284000,148284000,-0.00687935,0.00110021,-0.000563677,0.491018,0.0,0.0,0.0,1.0
148384000,148384000,0.00570237,-0.000161149,-0.000441521,0.490956,0.0,0.0,0.0,1.0
148480000,148480000,0.00449752,-0.00345489,0.000410241,0.489822,0.0,0.0,0.0,1.0
148580000,148580000,-0.00276911,-0.00477224,0.000385668,0.490395,0.0,0.0,0.0,1.0
148676000,148676000,-0.000165051,0.00490838,-0.00126614,0.489878,0.0,0.0,0.0,1.0
148776000,148776000,-0.000237176,-0.0023182,-0.00130697,0.4898,0.0,0.0,0.0,1.0
148872000,148872000,-0.000140817,0.0024862,-0.000329959,0.489596,0.0,0.0,0.0,1.0
148972000,148972000,0.00241859,0.000972031,0.00118937,0.490636,0.0,0.0,0.0,1.0
149072000,149072000,0.00568038,0.00182983,8.53997e-06,0.491244,0.0,0.0,0.0,1.0
149172000,149172000,-9.04498e-06,-0.00087218,-0.000679203,0.491264,0.0,0.0,0.0,1.0
149268000,149268000,-0.000435671,-0.00695252,0.00125285,0.492247,0.0,0.0,0.0,1.0
149368000,149368000,-0.0044358,0.000513262,-0.00164027,0.490629,0.0,0.0,0.0,1.0
149464000,149464000,0.00518478,-0.00195777,-0.000741565,0.491457,0.0,0.0,0.0,1.0
149560000,149560000,-0.000962621,0.00434977,-0.000346504,0.490636,0.0,0.0,0.0,1.0
149656000,149656000,0.00113376,0.000846458,0.00101363,0.491098,0.0,0.0,0.0,1.0
149756000,149756000,0.00429734,0.00340082,-0.000622082,0.491635,0.0,0.0,0.0,1.0
149856000,149856000,-0.000916985,-0.00229374,-0.000470552,0.491055,0.0,0.0,0.0,1.0
149956000,149956000,-0.000651494,0.000689156,0.000772461,0.491297,0.0,0.0,0.0,1.0
150052000,150052000,0.00207391,-0.00272232,-0.000308744,0.492369,0.0,0.0,0.0,1.0
150152000,150152000,0.00059874,-5.55591e-05,0.000697167,0.491768,0.0,0.0,0.0,1.0
150248000,150248000,0.000223276,0.00353559,-0.000482963,0.490905,0.0,0.0,0.0,1.0
150348000,150348000,0.000335892,-0.00296047,-0.000172368,0.490431,0.0,0.0,0.0,1.0
150448000,150448000,0.00517499,-0.00656088,0.000234741,0.491502,0.0,0.0,0.0,1.0
150544000,150544000,0.000907808,0.00203327,7.67311e-05,0.491682,0.0,0.0,0.0,1.0
150644000,150644000,0.00633453,0.00195674,-0.00157583,0.491343,0.0,0.0,0.0,1.0
150740000,150740000,-0.00287404,0.00422604,-0.000722368,0.490964,0.0,0.0,0.0,1.0
150836000,150836000,0.00306675,-0.00471141,0.00128941,0.489972,0.0,0.0,0.0,1.0
150932000,150932000,0.00187185,0.000918804,-0.00017986,0.491031,0.0,0.0,0.0,1.0
151028000,151028000,0.00621454,-3.41985e-05,-0.0001202,0.491065,0.0,0.0,0.0,1.0
151124000,151124000,0.00126084,-0.000367165,0.00121389,0.49038,0.0,0.0,0.0,1.0
151220000,151220000,-0.00636124,-0.00757368,-0.00094663,0.489997,0.0,0.0,0.0,1.0
151320000,151320000,0.0031365,-0.0044688,0.00110397,0.489986,0.0,0.0,0.0,1.0
151416000,151416000,-0.00220465,0.00161694,-0.000322086,0.490303,0.0,0.0,0.0,1.0
151512000,151512000,0.00252107,0.012214,0.000655618,0.490554,0.0,0.0,0.0,1.0
151608000,151608000,0.00448909,0.00195152,-0.000813897,0.490743,0.0,0.0,0.0,1.0
151704000,151704000,0.0035438,-0.000359505,-0.00213024,0.491327,0.0,0.0,0.0,1.0
151804000,151804000,-0.00129114,-0.00597914,-0.000626837,0.49154,0.0,0.0,0.0,1.0
151900000,151900000,-0.000580827,0.00376504,0.000255803,0.492013,0.0,0.0,0.0,1.0
152000000,152000000,0.000889574,1.69736e-05,0.000906728,0.491449,0.0,0.0,0.0,1.0
152096000,152096000,-0.00102379,-0.0033971,-0.000285272,0.491678,0.0,0.0,0.0,1.0
152196000,152196000,-0.00026823,0.00123442,0.00136966,0.491531,0.0,0.0,0.0,1.0
152296000,152296000,-0.00387307,-0.000285957,0.000183882,0.491371,0.0,0.0,0.0,1.0
152396000,152396000,-0.00351199,0.00542462,-0.00126014,0.49216,0.0,0.0,0.0,1.0
152492000,152492000,-0.000571041,-0.000764296,-0.000240824,0.491242,0.0,0.0,0.0,1.0
152588000,152588000,-0.002646,0.00374376,0.00161748,0.490812,0.0,0.0,0.0,1.0
152688000,152688000,-0.00285865,0.000726403,-0.000247306,0.491514,0.0,0.0,0.0,1.0
152788000,152788000,0.00191685,0.00141576,0.000331173,0.490653,0.0,0.0,0.0,1.0
152884000,152884000,0.0038418,-0.00388142,0.00112252,0.490809,0.0,0.0,0.0,1.0
152984000,152984000,-0.00142745,0.00284945,3.57749e-05,0.49032,0.0,0.0,0.0,1.0
153084000,153084000,-0.00127736,0.00782292,-0.00017331,0.490591,0.0,0.0,0.0,1.0
153184000,153184000,-0.00488246,0.00103736,-0.00188624,0.489002,0.0,0.0,0.0,1.0
153280000,153280000,-0.000883473,0.00933448,-0.000728379,0.489269,0.0,0.0,0.0,1.0
153376000,153376000,0.000948483,-0.00174213,-0.000576035,0.490678,0.0,0.0,0.0,1.0
153472000,153472000,0.00120262,-0.00998115,0.000910663,0.490806,0.0,0.0,0.0,1.0
153568000,153568000,0.00325062,-0.00312634,0.00193689,0.491379,0.0,0.0,0.0,1.0
153668000,153668000,-0.00258559,-0.00585297,0.00100144,0.491558,0.0,0.0,0.0,1.0
153768000,153768000,0.00587583,-0.000920402,-0.00143737,0.49137,0.0,0.0,0.0,1.0
153868000,153868000,-0.00096695,0.00148248,0.00179795,0.491181,0.0,0.0,0.0,1.0
153964000,153964000,0.000988207,0.00126542,-0.000372704,0.492054,0.0,0.0,0.0,1.0
154060000,154060000,-0.00180449,-0.00347198,0.000310622,0.49106,0.0,0.0,0.0,1.0
154156000,154156000,-0.00207064,-0.00514613,-0.000284472,0.491576,0.0,0.0,0.0,1.0
154256000,154256000,0.00311676,0.00456152,0.00131465,0.490776,0.0,0.0,0.0,1.0
154352000,154352000,-0.00364913,0.00295776,0.000955509,0.490505,0.0,0.0,0.0,1.0
154448000,154448000,0.00208583,-0.00320406,-0.00134265,0.491014,0.0,0.0,0.0,1.0
154544000,154544000,0.000750294,-0.00086898,0.00116218,0.490335,0.0,0.0,0.0,1.0
154640000,154640000,0.000726774,-0.00238717,0.000142607,0.490374,0.0,0.0,0.0,1.0
154740000,154740000,0.00201559,0.00237838,0.00153266,0.490689,0.0,0.0,0.0,1.0
154836000,154836000,-0.00202341,-0.00485103,0.00195154,0.491281,0.0,0.0,0.0,1.0
154932000,154932000,-0.000172986,-0.00360664,-0.00155278,0.490965,0.0,0.0,0.0,1.0
155028000,155028000,-0.00434021,-0.00117482,-0.00112615,0.492615,0.0,0.0,0.0,1.0
155128000,155128000,2.06078e-05,0.00147729,-0.00191748,0.491822,0.0,0.0,0.0,1.0
155228000,155228000,0.00304639,0.00764419,0.000480095,0.491574,0.0,0.0,0.0,1.0
155328000,155328000,0.00136769,6.31022e-05,0.000234102,0.491666,0.0,0.0,0.0,1.0
155428000,155428000,-0.00130811,-0.00260507,-0.00124386,0.491739,0.0,0.0,0.0,1.0
155528000,155528000,-0.00763094,-0.000335884,-5.65257e-06,0.491443,0.0,0.0,0.0,1.0
155624000,155624000,0.00290687,-0.0063945,0.0010417,0.491152,0.0,0.0,0.0,1.0
155724000,155724000,-0.00380643,0.00232551,-8.24046e-05,0.490091,0.0,0.0,0.0,1.0
155820000,155820000,-0.00353117,0.00468998,-0.000282422,0.490713,0.0,0.0,0.0,1.0
155916000,155916000,-0.0032882,-0.00885189,-9.48031e-05,0.490586,0.0,0.0,0.0,1.0
156012000,156012000,-0.00098101,0.00110835,0.00114269,0.490772,0.0,0.0,0.0,1.0
156108000,156108000,0.00176734,0.0049338,-3.46046e-05,0.489369,0.0,0.0,0.0,1.0
156208000,156208000,0.00358307,0.00627323,-0.00164389,0.490289,0.0,0.0,0.0,1.0
156304000,156304000,-0.000729584,0.00347256,0.000486488,0.490539,0.0,0.0,0.0,1.0
156400000,156400000,0.00325014,-0.00243304,0.000591048,0.49053,0.0,0.0,0.0,1.0
156500000,156500000,-0.00295521,0.0035287,0.00158077,0.490813,0.0,0.0,0.0,1.0
156596000,156596000,0.00180101,0.00052051,-0.00191566,0.491028,0.0,0.0,0.0,1.0
156696000,156696000,-0.00332659,-0.0021508,0.000519927,0.490102,0.0,0.0,0.0,1.0
156796000,156796000,-0.00389543,0.00413205,-0.00218503,0.491791,0.0,0.0,0.0,1.0
156896000,156896000,0.0012787,-0.00397971,9.33578e-05,0.491578,0.0,0.0,0.0,1.0
156996000,156996000,0.00761935,0.00143973,0.000682658,0.489984,0.0,0.0,0.0,1.0
157096000,157096000,0.000576385,0.00534662,-0.00116934,0.491203,0.0,0.0,0.0,1.0
157192000,157192000,-0.00100301,0.00206751,-0.00189839,0.490553,0.0,0.0,0.0,1.0
157292000,157292000,-0.0032983,0.00375854,0.000896159,0.491925,0.0,0.0,0.0,1.0
157392000,157392000,0.00386504,-0.000106419,0.00178697,0.492033,0.0,0.0,0.0,1.0
157488000,157488000,-0.00217829,0.00297705,-0.000619425,0.49157,0.0,0.0,0.0,1.0
157588000,157588000,0.00326008,-0.00341917,-0.000476479,0.491364,0.0,0.0,0.0,1.0
157684000,157684000,0.00409344,0.00206522,-0.00107683,0.491129,0.0,0.0,0.0,1.0
157780000,157780000,5.99106e-05,-0.00383748,-0.00140444,0.491492,0.0,0.0,0.0,1.0
157880000,157880000,0.00635096,-0.00159847,0.00177375,0.492664,0.0,0.0,0.0,1.0
157980000,157980000,0.000747571,-0.00276645,0.000439673,0.49144,0.0,0.0,0.0,1.0
158076000,158076000,-0.00186838,0.00148753,-0.000384633,0.491229,0.0,0.0,0.0,1.0
158172000,158172000,-0.00163859,0.000285632,0.000666081,0.490596,0.0,0.0,0.0,1.0
158272000,158272000,-0.000948792,0.000808739,-0.00126474,0.490711,0.0,0.0,0.0,1.0
158368000,158368000,0.00188581,0.00428754,0.000677233,0.491127,0.0,0.0,0.0,1.0
158468000,158468000,-0.00392253,-0.00269371,-0.00100771,0.49186,0.0,0.0,0.0,1.0
158568000,158568000,-0.00314898,-0.00484728,0.000595077,0.491164,0.0,0.0,0.0,1.0
158668000,158668000,-0.00263394,-0.000310039,-0.00101546,0.491226,0.0,0.0,0.0,1.0
158764000,158764000,-0.00210526,0.00236256,-0.000284649,0.490432,0.0,0.0,0.0,1.0
158860000,158860000,0.000370872,0.00102189,0.00188143,0.491717,0.0,0.0,0.0,1.0
158960000,158960000,-0.00195745,0.00129008,0.00132938,0.492126,0.0,0.0,0.0,1.0
159056000,159056000,0.00133542,-0.00209454,-0.000348901,0.49045,0.0,0.0,0.0,1.0
159152000,159152000,0.00166871,-0.00418356,0.000434067,0.48947,0.0,0.0,0.0,1.0
159252000,159252000,-0.000978553,-0.0018637,0.00138872,0.490558,0.0,0.0,0.0,1.0
159348000,159348000,0.00275866,-0.00333141,8.6235e-05,0.491791,0.0,0.0,0.0,1.0
159448000,159448000,0.00220496,0.00650536,0.000551525,0.491597,0.0,0.0,0.0,1.0
159544000,159544000,0.00462306,-0.00118899,0.000278847,0.491962,0.0,0.0,0.0,1.0
159644000,159644000,0.00525694,-0.000325923,0.00213719,0.492035,0.0,0.0,0.0,1.0
159740000,159740000,-0.00322067,0.00526813,-0.0020915,0.492711,0.0,0.0,0.0,1.0
159840000,159840000,0.00122603,-0.00693774,0.00041884,0.492179,0.0,0.0,0.0,1.0
159940000,159940000,0.00889302,-0.000278538,0.000259964,0.49088,0.0,0.0,0.0,1.0
160036000,160036000,0.00210621,0.000354384,0.000357655,0.491248,0.0,0.0,0.0,1.0
160136000,160136000,-0.00451266,-0.00163132,0.000188019,0.490659,0.0,0.0,0.0,1.0
160232000,160232000,-0.000655274,-0.00598005,-0.00134369,0.491368,0.0,0.0,0.0,1.0
160332000,160332000,-0.00287104,-0.00345538,0.000202829,0.490655,0.0,0.0,0.0,1.0
160428000,160428000,0.0054118,0.00249261,-0.000583546,0.490531,0.0,0.0,0.0,1.0
160528000,160528000,0.00140764,-0.0018795,-0.000713305,0.491166,0.0,0.0,0.0,1.0
160628000,160628000,-0.00110722,-0.00349833,-0.000533557,0.491243,0.0,0.0,0.0,1.0
160728000,160728000,0.00178282,-0.00271627,0.000913929,0.491583,0.0,0.0,0.0,1.0
160824000,160824000,-0.0029489,-0.00148735,-0.00156491,0.491054,0.0,0.0,0.0,1.0
160924000,160924000,0.00134141,0.00017169,-4.86127e-05,0.492104,0.0,0.0,0.0,1.0
161024000,161024000,0.00102196,-0.00598029,8.81784e-05,0.491058,0.0,0.0,0.0,1.0
161124000,161124000,-0.000694107,-0.00203613,0.00097733,0.490228,0.0,0.0,0.0,1.0
161224000,161224000,-0.00683001,0.000998576,-0.000131939,0.490792,0.0,0.0,0.0,1.0
161320000,161320000,-0.000351498,-5.35559e-05,0.000169306,0.490404,0.0,0.0,0.0,1.0
161420000,161420000,-0.00407591,0.00450218,-0.00102002,0.490778,0.0,0.0,0.0,1.0
161516000,161516000,0.000303363,-0.00319415,0.00177922,0.49056,0.0,0.0,0.0,1.0
161616000,161616000,-0.00282302,0.00305285,0.00083285,0.491559,0.0,0.0,0.0,1.0
161712000,161712000,0.000727862,0.00453291,-0.00145354,0.491481,0.0,0.0,0.0,1.0
161812000,161812000,0.000998009,0.00171648,-0.000179057,0.491149,0.0,0.0,0.0,1.0
161912000,161912000,-0.00188431,0.00201413,0.00134397,0.491646,0.0,0.0,0.0,1.0
162012000,162012000,-0.00213494,-0.00496389,0.00156684,0.491238,0.0,0.0,0.0,1.0
