timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
48248000,0.0,0.0,0.0
48444000,0.0,0.0,0.0
48644000,0.0,0.0,0.0
48844000,0.0,0.0,0.0
49044000,0.0,0.0,0.0
49244000,0.0,0.0,0.0
49440000,0.0,0.0,0.0
49636000,0.0,0.0,0.0
49832000,0.0,0.0,0.0
50032000,0.0,0.0,0.0
50228000,0.0,0.0,0.0
50428000,0.0,0.0,0.0
50628000,0.0,0.0,0.0
50828000,0.0,0.0,0.0
51024000,0.0,0.0,0.0
51224000,0.0,0.0,0.0
51420000,0.0,0.0,0.0
51620000,0.0,0.0,0.0
51816000,0.0,0.0,0.0
52016000,0.0,0.0,0.0
52212000,0.0,0.0,0.0
52412000,0.0,0.0,0.0
52612000,0.0,0.0,0.0
52808000,0.0,0.0,0.0
53008000,0.0,0.0,0.0
53208000,0.0,0.0,0.0
53408000,0.0,0.0,0.0
53604000,0.0,0.0,0.0
53804000,0.0,0.0,0.0
54004000,0.0,0.0,0.0
54204000,0.0,0.0,0.0
54400000,0.0,0.0,0.0
54600000,0.0,0.0,0.0
54800000,0.0,0.0,0.0
55000000,0.0,0.0,0.0
55200000,0.0,0.0,0.0
55396000,0.0,0.0,0.0
55596000,0.0,0.0,0.0
55796000,0.0,0.0,0.0
55992000,0.0,0.0,0.0
56188000,0.0,0.0,0.0
56388000,0.0,0.0,0.0
56588000,0.0,0.0,0.0
56784000,0.0,0.0,0.0
56980000,0.0,0.0,0.0
57180000,0.0,0.0,0.0
57380000,0.0,0.0,0.0
57580000,0.0,0.0,0.0
57780000,0.0,0.0,0.0
57980000,0.0,0.0,0.0
58180000,0.0,0.0,0.0
58376000,0.0,0.0,0.0
58576000,0.0,0.0,0.0
58776000,0.0,0.0,0.0
58972000,0.0,0.0,0.0
59168000,0.0,0.0,0.0
59364000,0.0,0.0,0.0
59564000,0.0,0.0,0.0
59764000,0.0,0.0,0.0
59964000,0.0,0.0,0.0
60164000,0.0,0.0,0.0
60364000,0.0,0.0,0.0
60560000,0.0,0.0,0.0
60756000,0.0,0.0,0.0
60956000,0.0,0.0,0.0
61156000,0.0,0.0,0.0
61352000,0.0,0.0,0.0
61552000,0.0,0.0,0.0
61752000,0.0,0.0,0.0
61952000,0.0,0.0,0.0
62152000,0.0,0.0,0.0
62352000,0.0,0.0,0.0
62548000,0.0,0.0,0.0
62748000,0.0,0.0,0.0
62948000,0.0,0.0,0.0
63148000,0.0,0.0,0.0
63348000,0.0,0.0,0.0
63548000,0.0,0.0,0.0
63744000,0.0,0.0,0.0
63944000,0.0,0.0,0.0
64144000,0.0,0.0,0.0
64340000,0.0,0.0,0.0
64540000,0.0,0.0,0.0
64736000,0.0,0.0,0.0
64936000,0.0,0.0,0.0
65136000,0.0,0.0,0.0
65332000,0.0,0.0,0.0
65532000,0.0,0.0,0.0
65732000,0.0,0.0,0.0
65932000,0.0,0.0,0.0
66132000,0.0,0.0,0.0
66328000,0.0,0.0,0.0
66528000,0.0,0.0,0.0
66728000,0.0,0.0,0.0
66928000,0.0,0.0,0.0
67128000,0.0,0.0,0.0
67328000,0.0,0.0,0.0
67528000,0.0,0.0,0.0
67724000,0.0,0.0,0.0
67924000,0.0,0.0,0.0
68124000,0.0,0.0,0.0
68320000,0.0,0.0,0.0
68516000,0.0,0.0,0.0
68716000,0.0,0.0,0.0
68916000,0.0,0.0,0.0
69116000,0.0,0.0,0.0
69316000,0.0,0.0,0.0
69516000,0.0,0.0,0.0
69616000,0.0,0.0,0.0
488352000,0.0,0.0,0.0
488552000,0.0,0.0,0.0
488748000,0.0,0.0,0.0
488944000,0.0,0.0,0.0
489144000,0.0,0.0,0.0
489344000,0.0,0.0,0.0
