timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
368240000,0.00924082,-0.00460706,-0.00576343,0.999951,-0.00412274,0.000884917,-0.00895917,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368268000,-0.0072592,0.00789293,0.000736713,0.999951,-0.00411113,0.000932757,-0.00894465,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368296000,0.00773937,-0.00360863,0.00823689,0.999951,-0.00408493,0.000993636,-0.00896328,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368328000,-0.00826064,-0.00160867,0.00773731,0.999951,-0.00406168,0.000946777,-0.00896354,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368360000,0.0152394,-0.00310868,-0.00676246,0.999951,-0.00396878,0.00103751,-0.00898325,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368388000,-0.00576158,-0.00410963,-0.00126228,0.999951,-0.00399593,0.000906839,-0.00898691,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368416000,0.00873846,0.0123903,0.00773775,0.999951,-0.00394066,0.00104133,-0.00899211,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368444000,0.0112384,-0.0141096,-0.009262,0.999951,-0.00387392,0.000975734,-0.00904561,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368476000,0.00873846,0.00189036,0.00773815,0.999952,-0.00377293,0.00109676,-0.00901994,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368504000,-0.00926271,0.00188912,0.00173843,0.999952,-0.00386775,0.000977443,-0.00900007,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368532000,0.00473727,0.00588915,-0.00326136,0.999952,-0.00381105,0.000989077,-0.00896988,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368560000,-0.0032627,0.0118891,-0.00726122,0.999952,-0.00389204,0.000892969,-0.00900123,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368588000,-0.00576374,0.00838721,0.00373912,0.999952,-0.00385364,0.00118349,-0.00895012,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368620000,-0.0142637,0.0218872,-0.0112608,0.999951,-0.00404817,0.0011457,-0.00894061,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368648000,-0.00376375,0.00738727,0.00973946,0.999952,-0.00415439,0.00132577,-0.00879995,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368676000,-0.00176375,-0.00561278,0.00223985,0.999952,-0.00417875,0.00124789,-0.00877436,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368704000,0.00673523,0.00338629,-0.00875985,0.999952,-0.00420828,0.00131874,-0.00871619,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368732000,-0.0287647,0.0173863,-0.0157598,0.999951,-0.0043113,0.00120498,-0.00877798,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368760000,0.0257352,-0.0056137,0.00424112,0.999952,-0.00420407,0.00119494,-0.00877124,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368792000,-0.00826563,-0.00361488,-0.0017588,0.999952,-0.00415736,0.00112644,-0.00876284,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368820000,0.0157343,-0.0101149,0.00674141,0.999953,-0.0041417,0.000951138,-0.00871695,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368852000,-0.00876564,0.00788515,0.00374141,0.999954,-0.00414892,0.000851681,-0.0086625,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368880000,-0.00526648,0.00588362,-0.00625838,0.999953,-0.00417801,0.000893932,-0.0086988,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368908000,0.0152335,0.00238361,0.00174186,0.999953,-0.0040396,0.000916966,-0.00873611,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368936000,-0.00426655,-0.0171163,-0.00375791,0.999953,-0.00402053,0.000759382,-0.00876367,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368964000,0.0132335,-0.0156164,0.00624212,0.999953,-0.00402721,0.000725108,-0.00884185,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
368992000,-0.0107666,0.00238152,-0.0107579,0.999952,-0.00392578,0.000679025,-0.00889441,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369020000,0.00473336,-0.0051185,0.00874233,0.999953,-0.00396485,0.000547377,-0.00884171,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
